Timeline,Start time,Duration,Row,Instance number,#0 LaBaron Philon,#1 Jalil Bethea,#10 Keitenn Bristow,#11 Marcus Zegarowski,#11 Preston Murphy Jr.,#15 Noah Williamson,#2 Aden Holloway,#22 Aiden Sherrell,#3 Latrell Wrightsell Jr.,#32 Jacob Martin,#34 Collins Onyejiaka,#4 Davion Hannah,#4 Hayden Doyle,#5 Amari Allen,#6 London Jemison,#7 Taylor Bol Bowen,#95 Houston Mallette,-,2FG (Defenders),2FG (Dribble),2FG (Feet),2FG (Hands),2FG (Other),2FG (PA),2FG (RA),2FG (Type),2FG Scheme (Attack),2FG Scheme (Drive),2FG Scheme (Pass),3FG (Balance),3FG (Contest),3FG (Footwork),3FG (Line),3FG (Move),3FG (Pocket),3FG (Shrink),3FG (Type),3FG Scheme (Attack),3FG Scheme (Drive),3FG Scheme (Pass),ACTION,ATO Plays,Assist (Defenders),Assist (Feet),Assist (Hand),Assist (Jump),Assist (Paint),Assist Type,COVERAGE,FT BELOW,GAME,GAME SPLITS,OPP STATS,PAINT TOUCHES,PASS CONTEST,PLAYCALL,PLAYER POSSESSIONS,PNR GAP HELP,POSITION,POSSESSION START,POSSESSION TYPE,PnR Action,PnR Coverage,PnR Effect,PnR LOCATION,PnR Result Type,PnR Term,PnR Type,SERIES,SHOT CLOCK,SHOT CLOCK PT,Shot Location,Shot Possession Type,TEAM,TO (Defenders),TO (Feet),TO (Hand),TO (Jump),TO (Paint),TO LB/DB,TO Scheme,TO Scheme (Attack),TO Scheme (Drive),TO Scheme (Non-Pass),TO Scheme (Pass),TO Type,Ungrouped,Notes,Flags
25_11_08 ALABAMA VS ST. JOHNS,8135.731602914,7.0,#95 Houston Mallette,25,,,,,,,,,,,,,,,,,Fouled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,97.98737699,7.0,#0 LaBaron Philon,1,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,190.972138691,7.0,#0 LaBaron Philon,2,2FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,220.199769025,7.0,#0 LaBaron Philon,3,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,282.308711949,7.0,#0 LaBaron Philon,4,3FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,668.589991406,9.0,#0 LaBaron Philon,5,Deflection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","16:00 - 12:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,797.514872568,7.0,#0 LaBaron Philon,6,ATR-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,931.537119374,7.0,#0 LaBaron Philon,7,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1030.104903891,7.0,#0 LaBaron Philon,8,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1153.195400984,9.0,#0 LaBaron Philon,9,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","16:00 - 12:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1163.033309415,7.0,#0 LaBaron Philon,10,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1167.75,9.0,#0 LaBaron Philon,11,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","16:00 - 12:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1170.918702043,9.0,#0 LaBaron Philon,12,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","16:00 - 12:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1418.185974309,7.0,#0 LaBaron Philon,13,2FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1442.81749722,7.0,#0 LaBaron Philon,14,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1461.230504308,7.0,#0 LaBaron Philon,15,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1477.939443389,7.0,#0 LaBaron Philon,16,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2260.584022877,7.0,#0 LaBaron Philon,17,3FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2266.353881601,7.0,#0 LaBaron Philon,18,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2285.637450427,9.0,#0 LaBaron Philon,19,Deflection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","8:00 - 4:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2286.162752581,7.0,#0 LaBaron Philon,20,Foul By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2458.584044405,7.0,#0 LaBaron Philon,21,Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2615.793498611,7.0,#0 LaBaron Philon,22,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2681.937754532,7.0,#0 LaBaron Philon,23,Turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2783.989673564,7.0,#0 LaBaron Philon,24,2FG+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,2800.286330833,9.0,#0 LaBaron Philon,25,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","8:00 - 4:00, 1st Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,3085.489155539,7.0,#0 LaBaron Philon,26,"Fouled, ATRF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,3220.186048583,7.0,#0 LaBaron Philon,27,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
